province,station_name,icao,iata,synop,latitude,longitude,elevation_m,metar,nexrad,aviation,upper_air,auto_type,office_type,country
BC,GREY ISLET (MAPS,CWEK,WEK,7147,54 35,130 42W,8,Yes,,,,,,CA
BC,HELMCKEN ISL(MAP,CWXM,WXM,7148,50 23,125 52W,19,Yes,,,,,,CA
BC,HERBERT ISL (MAP,CWLP,WLP,7148,50 56,127 38W,17,Yes,,,,,,CA
BC,HOLBERG CCR,CWXH,WXH,7156,50 38,128 08W,568,Yes,,,,,,CA
BC,HOLLAND ROCK(AUT,CWHL,WHL,7144,54 10,130 21W,5,Yes,,,,,,CA
BC,HOPE AIRPORT (MA,CYHE,YHE,7111,49 22,121 30W,39,Yes,,,,,,CA
BC,HOPE SLIDE,CWKV,WKV,,49 16,121 13W,674,Yes,,,,,,CA
BC,HORSEFLY R.71761,CWFR,WFR,,52 16,121 02W,846,Obsolete,,,,,,CA
BC,HOSKINS ISLET,CWZK,,7177,52 32,131 33W,8,Yes,,,,,,CA
BC,ISKUT RIVER(AUTO,CWIO,WIO,,56 43,131 40W,15,Yes,,,,,,CA
BC,IVORY ISLAND,CWJG,WJG,,52 16,128 25W,10,Yes,,,,,,CA
BC,KAMLOOPS AIRPORT,CYKA,YKA,7188,50 42,120 27W,346,Yes,,TAF,,,,CA
BC,KAMLOOPS,CZKA,,,50 42,120 26W,345,Yes,,,,,,CA
BC,KELOWNA APT,CYLW,YLW,7120,49 57,119 22W,430,Yes,,TAF,Military,,,CA
BC,KELP REEFS 71036,CWZO,WZO,,48 33,123 14W,1,Obsolete,,,,,,CA
BC,KINDAKUN ROCKS(A,CWQS,WQS,7147,53 19,132 46W,14,Yes,,,,,,CA
BC,LANGARA,CWJU,WJU,7190,54 15,133 04W,41,Yes,,,,,,CA
BC,LANGARA,CWLA,WLA,7189,54 15,133 04W,41,Yes,,,,,,CA
BC,LUCY ISL (LGT H),CWLC,WLC,,54 18,130 37W,27,Yes,,,,,,CA
BC,LYTTON (READAC),CWLY,WLY,7189,50 13,121 35W,229,Yes,,,,,,CA
BC,MACKENZIE AIRPOR,CYZY,YZY,7194,55 17,123 07W,690,Yes,,TAF,,,,CA
BC,MALAHAT (AUTOB),CWKH,WKH,7177,48 34,123 33W,366,Yes,,,,,,CA
BC,MASSET,CZMT,,,54 02,132 08W,8,Yes,,TAF,,,,CA
BC,MCINNES ISLAND,CWMS,WMS,7189,52 16,128 43W,26,Yes,,,,,,CA
BC,MERRY ISLAND,CWMR,WMR,,49 28,123 55W,8,Yes,,,,,,CA
BC,MT SICKER RADAR,CXSI,,,48 52,123 45W,1,,Yes,,,,,CA
BC,MUNCHO LAKE,CWWQ,WWQ,,58 56,125 46W,837,Yes,,,,,,CA
BC,NAKUSP (AUTOB),CWNP,WNP,7121,50 16,117 49W,524,Yes,,,,,,CA
BC,NANAIMO AIRPORT,CYCD,YCD,7189,49 03,123 52W,30,Yes,,TAF,,,,CA
BC,NECHAKO RIVER AU,CWNX,WNX,,53 40,124 49W,715,Yes,,,,,,CA
BC,NELSON (AUTOB),CWNM,WNM,7177,49 30,117 17W,535,Yes,,,,,,CA
BC,NITINAT LAKE (MA,CWAC,WAC,7148,48 40,124 50W,41,Yes,,,,,,CA
BC,NOOTKA LIGHTSTAT,CWCV,WCV,,49 36,126 37W,16,Yes,,,,,,CA
BC,OSOYOOS (AUTOB),CWYY,WYY,7121,49 02,119 26W,283,Yes,,,,,,CA
BC,P. MEADOWS CS AU,CWMM,WMM,7177,49 13,122 41W,5,Yes,,,,,,CA
BC,PEMBERTON (AUTOB,CWGP,WGP,7177,50 18,122 44W,204,Obsolete,,,,,,CA
BC,PEMBERTON (AUTOB,CYPS,WGE,,50 18,122 44W,204,,,,,,,CA
BC,PENTICTON AIRPOR,CYYF,YYF,7188,49 28,119 35W,344,Yes,,TAF,,,,CA
BC,PINE ISLAND (MAP,CWPI,WPI,7110,50 59,127 44W,9,Yes,,,,,,CA
BC,PORT ALBERNI (MA,CWQC,WQC,7147,49 19,124 56W,53,Yes,,,,,,CA
BC,PORT HARDY AIRPO,CYZT,YZT,7110,50 40,127 22W,22,Yes,,TAF,Rawinsonde,,,CA
BC,POWELL RIVER ARP,CYPW,YPW,7120,49 49,124 30W,130,Yes,,,,,,CA
BC,PRINCE GEORGE,CYXS,YXS,7190,53 54,122 41W,691,Yes,,TAF,Rawinsonde,,,CA
BC,PRINCE GEORGE,CXPG,,,53 37,122 57W,101,,Yes,,,,,CA
BC,PRINCE RUPERT AR,CYPR,YPR,7189,54 17,130 25W,34,Yes,,TAF,,,,CA
BC,PRINCETON,CWPR,WPR,7103,49 28,120 31W,700,Yes,,,,,,CA
BC,PRINCETON,CYDC,YDC,7188,49 28,120 31W,700,Yes,,AIRMET/SIGMET,,,,CA
BC,PUNTZI MTN (MARS,CWPU,WPU,7105,52 07,124 07W,910,Yes,,,,,,CA
BC,QUATSINO (LGT ST,CWIF,WIF,,50 26,128 02W,21,Yes,,,,,,CA
BC,QUESNEL AIRPORT,CYQZ,YQZ,7110,53 01,122 31W,545,Yes,,TAF,,,,CA
BC,RACE ROCKS AUTOB,CWQK,WQK,7177,48 18,123 32W,5,Yes,,,,,,CA
BC,REVELSTOKE AIRPO,CYRV,YRV,7188,50 58,118 10W,443,Yes,,,,,,CA
BC,ROSE SPIT (MAPS),CWRO,WRO,7147,54 10,131 40W,7,Yes,,,,,,CA
BC,SALMON ARM AUTOB,CWSL,WSL,7121,50 42,119 16W,351,Yes,,,,,,CA
BC,SAND HEADS (LS),CWVF,WVF,,49 06,123 18W,1,Yes,,,,,,CA
BC,SANDSPIT AIRPORT,CYZP,YZP,7110,53 15,131 49W,6,Yes,,TAF,,,,CA
